URLs,Information Of the College,Courses and fees,Admission,review,department,Cut oFF
https://collegedunia.com/university/25881-indian-institute-of-technology-madras-iitm-chennai,,,,,,
https://collegedunia.com/university/25455-indian-institute-of-technology-iit-new-delhi,,,,,,
https://collegedunia.com/university/25777-chandigarh-university-cu-chandigarh,,,,,,
https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-mumbai,,,,,,
https://collegedunia.com/university/26007-indian-institute-of-technology-iit-kharagpur,,,,,,
https://collegedunia.com/university/25948-indian-institute-of-technology-iit-kanpur,,,,,,
https://collegedunia.com/university/25992-indian-institute-of-technology-iit-roorkee,,,,,,
https://collegedunia.com/university/25800-birla-institute-of-technology-and-science-bits-pilani,,,,,,
https://collegedunia.com/university/25833-nims-university-jaipur,,,,,,
https://collegedunia.com/university/25396-indian-institute-of-technology-iit-guwahati,,,,,,
https://collegedunia.com/university/25356-indian-institute-of-technology-iit-hyderabad,,,,,,
https://collegedunia.com/college/28261-college-of-engineering-anna-university-ceg-chennai,,,,,,
https://collegedunia.com/university/25879-hindustan-institute-of-technology-and-science-hits-chennai,,,,,,
https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli,,,,,,
https://collegedunia.com/college/59262-school-of-aeronautics-soa-new-delhi,,,,,,
https://collegedunia.com/university/25947-indian-institute-of-technology-iit-bhu-varanasi,,,,,,
https://collegedunia.com/university/25642-indian-institute-of-space-science-and-technology-iist-thiruvananthapuram,,,,,,
https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai,,,,,,
https://collegedunia.com/university/25666-indian-institute-of-technology-iit-indore,,,,,,
https://collegedunia.com/university/26008-jadavpur-university-ju-kolkata,,,,,,
https://collegedunia.com/university/25581-indian-institute-of-technology-iit-dhanbad,,,,,,
https://collegedunia.com/university/24260-national-institute-of-technology-nit-rourkela,,,,,,
https://collegedunia.com/university/25759-indian-institute-of-technology-iit-bhubaneswar,,,,,,
https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore,,,,,,
https://collegedunia.com/university/28330-indian-institute-of-engineering-science-and-technology-iiest-shibpur-howrah,,,,,,
https://collegedunia.com/university/25559-indian-institute-of-technology-iit-mandi,,,,,,
https://collegedunia.com/university/25620-national-institute-of-technology-nitk-surathkal,,,,,,
https://collegedunia.com/university/25409-indian-institute-of-technology-iit-patna,,,,,,
https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-patiala,,,,,,
https://collegedunia.com/university/25495-indian-institute-of-technology-iit-gandhi-nagar,,,,,,
https://collegedunia.com/university/25367-national-institute-of-technology-nit-warangal,,,,,,
https://collegedunia.com/university/25460-jamia-millia-islamia-universityjmi-new-delhi,,,,,,
https://collegedunia.com/university/25651-national-institute-of-technology-nitc-calicut,,,,,,
https://collegedunia.com/university/25786-indian-institute-of-technology-iit-ropar,,,,,,
